problem,granularity,scope,feature,classifier,parameters,val_acc,val_prec,val_rec,val_gmean,val_f1,val_mcc,train_time,val_time,test_acc,test_prec,test_rec,test_gmean,test_f1,test_mcc,test_time
cvss3_severity,method,whole,subwords,rf,100-100,0.48,0.34,0.288,0.313,0.265,0.119,0.924,0.066,0.554,0.453,0.308,0.374,0.303,0.169,0.054
cvss3_severity,method,whole,subwords,rf,100-200,0.484,0.341,0.29,0.315,0.269,0.125,1.323,0.065,0.553,0.433,0.316,0.37,0.317,0.172,0.058
cvss3_severity,method,whole,subwords,rf,100-300,0.484,0.334,0.29,0.312,0.27,0.124,1.706,0.067,0.552,0.423,0.317,0.366,0.318,0.172,0.055
cvss3_severity,method,whole,subwords,rf,200-100,0.476,0.339,0.286,0.311,0.262,0.113,1.519,0.114,0.553,0.463,0.31,0.379,0.307,0.168,0.103
cvss3_severity,method,whole,subwords,rf,200-200,0.484,0.346,0.291,0.318,0.273,0.124,2.349,0.115,0.552,0.452,0.314,0.377,0.315,0.168,0.099
cvss3_severity,method,whole,subwords,rf,200-300,0.487,0.348,0.293,0.319,0.275,0.129,3.087,0.111,0.542,0.449,0.313,0.375,0.316,0.152,0.117
cvss3_severity,method,whole,subwords,rf,300-100,0.468,0.328,0.281,0.304,0.257,0.097,2.155,0.154,0.555,0.466,0.311,0.381,0.308,0.172,0.143
cvss3_severity,method,whole,subwords,rf,300-200,0.475,0.341,0.286,0.312,0.268,0.107,3.396,0.177,0.558,0.452,0.315,0.378,0.314,0.181,0.146
cvss3_severity,method,whole,subwords,rf,300-300,0.484,0.346,0.291,0.318,0.274,0.123,4.464,0.165,0.556,0.455,0.318,0.38,0.319,0.178,0.159
cvss3_severity,method,whole,subwords,rf,400-100,0.472,0.331,0.283,0.306,0.26,0.105,2.8,0.22,0.559,0.471,0.314,0.384,0.311,0.181,0.218
cvss3_severity,method,whole,subwords,rf,400-200,0.486,0.33,0.291,0.31,0.272,0.127,4.442,0.211,0.558,0.452,0.315,0.377,0.313,0.18,0.219
cvss3_severity,method,whole,subwords,rf,400-300,0.485,0.339,0.292,0.315,0.275,0.125,5.842,0.214,0.558,0.461,0.32,0.384,0.323,0.182,0.192
cvss3_severity,method,whole,subwords,rf,500-100,0.474,0.332,0.284,0.307,0.261,0.109,3.424,0.281,0.558,0.47,0.313,0.384,0.31,0.179,0.253
cvss3_severity,method,whole,subwords,rf,500-200,0.485,0.33,0.291,0.31,0.271,0.126,5.488,0.297,0.559,0.454,0.315,0.378,0.313,0.182,0.247
cvss3_severity,method,whole,subwords,rf,500-300,0.484,0.34,0.291,0.315,0.274,0.123,7.293,0.273,0.561,0.464,0.322,0.386,0.325,0.189,0.277
cvss3_severity,method,whole,subwords,lgbm,100-100,0.474,0.595,0.322,0.438,0.342,0.106,141.574,0.025,0.525,0.363,0.321,0.342,0.326,0.156,0.026
cvss3_severity,method,whole,subwords,lgbm,100-200,0.489,0.623,0.332,0.455,0.354,0.131,213.728,0.028,0.521,0.389,0.316,0.351,0.324,0.14,0.028
cvss3_severity,method,whole,subwords,lgbm,100-300,0.464,0.595,0.316,0.434,0.337,0.088,252.791,0.033,0.521,0.381,0.314,0.346,0.32,0.139,0.039
cvss3_severity,method,whole,subwords,lgbm,200-100,0.481,0.604,0.328,0.445,0.348,0.118,257.42,0.041,0.536,0.38,0.329,0.353,0.335,0.174,0.039
cvss3_severity,method,whole,subwords,lgbm,200-200,0.483,0.614,0.329,0.449,0.35,0.121,344.108,0.045,0.523,0.389,0.319,0.352,0.327,0.144,0.041
cvss3_severity,method,whole,subwords,lgbm,200-300,0.477,0.615,0.328,0.449,0.35,0.112,374.107,0.057,0.525,0.382,0.319,0.349,0.327,0.146,0.042
cvss3_severity,method,whole,subwords,lgbm,300-100,0.484,0.612,0.331,0.45,0.352,0.124,351.183,0.052,0.547,0.39,0.341,0.365,0.349,0.197,0.046
cvss3_severity,method,whole,subwords,lgbm,300-200,0.481,0.614,0.329,0.449,0.351,0.118,414.869,0.048,0.53,0.396,0.324,0.358,0.334,0.156,0.045
cvss3_severity,method,whole,subwords,lgbm,300-300,0.473,0.613,0.325,0.446,0.348,0.105,435.429,0.063,0.533,0.391,0.33,0.359,0.34,0.165,0.045
cvss3_severity,method,whole,subwords,lgbm,400-100,0.484,0.611,0.333,0.451,0.356,0.126,419.559,0.053,0.549,0.389,0.343,0.366,0.352,0.201,0.056
cvss3_severity,method,whole,subwords,lgbm,400-200,0.477,0.612,0.328,0.448,0.35,0.112,464.013,0.049,0.524,0.393,0.32,0.355,0.33,0.144,0.048
cvss3_severity,method,whole,subwords,lgbm,400-300,0.469,0.61,0.323,0.444,0.346,0.098,480.537,0.046,0.532,0.393,0.329,0.36,0.34,0.162,0.047
cvss3_severity,method,whole,subwords,lgbm,500-100,0.483,0.611,0.335,0.452,0.359,0.126,480.473,0.059,0.54,0.387,0.34,0.363,0.349,0.185,0.056
cvss3_severity,method,whole,subwords,lgbm,500-200,0.476,0.616,0.33,0.451,0.354,0.111,509.3,0.051,0.528,0.395,0.323,0.357,0.333,0.152,0.051
cvss3_severity,method,whole,subwords,lgbm,500-300,0.471,0.612,0.324,0.445,0.347,0.101,527.128,0.051,0.538,0.39,0.332,0.36,0.342,0.172,0.05
